,0
256,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
257,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
258,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
259,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
260,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
261,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
262,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
263,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
264,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
265,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
266,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
267,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'rap']"
268,"['chicago rap', 'rap']"
269,"['chicago rap', 'rap']"
270,"['chicago rap', 'rap']"
271,"['chicago rap', 'rap']"
272,"['chicago rap', 'rap']"
273,"['chicago rap', 'rap']"
274,"['chicago rap', 'rap']"
275,"['chicago rap', 'rap']"
276,"['chicago rap', 'rap']"
277,"['chicago rap', 'rap']"
278,"['chicago rap', 'rap']"
279,"['chicago rap', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'trap', 'urban contemporary']"
280,"['chicago rap', 'rap']"
281,"['chicago rap', 'rap']"
282,"['chicago rap', 'rap']"
283,"['chicago rap', 'rap']"
284,"['chicago rap', 'rap']"
285,"['chicago rap', 'rap']"
286,"['chicago rap', 'rap']"
287,"['chicago rap', 'rap']"
288,"['chicago rap', 'rap']"
289,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
290,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
291,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
292,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
293,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
294,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
295,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
296,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
297,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
298,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
